,IATA,Description,ID
0,01A,"Afognak Lake, AK: Afognak Lake Airport",10001
1,03A,"Granite Mountain, AK: Bear Creek Mining Strip",10003
2,04A,"Lik, AK: Lik Mining Camp",10004
3,05A,"Little Squaw, AK: Little Squaw Airport",10005
4,06A,"Kizhuyak, AK: Kizhuyak Bay",10006
5,07A,"Klawock, AK: Klawock Seaplane Base",10007
6,08A,"Elizabeth Island, AK: Elizabeth Island Airport",10008
7,09A,"Homer, AK: Augustin Island",10009
8,1B1,"Hudson, NY: Columbia County",10010
9,1G4,"Peach Springs, AZ: Grand Canyon West",10011
10,1G4,"Peach Springs, AZ: Grand Canyon West",11398
11,DQR,"Peach Springs, AZ: Grand Canyon West",10011
12,DQR,"Peach Springs, AZ: Grand Canyon West",11398
13,1N7,"Blairstown, NJ: Blairstown Airport",10012
14,1NY,"Penn Yan, NY: Penn Yan Airport",16571
15,2NY,"Port Washington, NY: Sands Point Seaplane Base",16830
16,6B0,"Middlebury, VT: Middlebury State",16429
17,7AK,"Akun, AK: Akun Airport",16567
18,8F3,"Crosbyton, TX: Crosbyton Municipal",10013
19,A01,"Fairbanks/Ft. Wainwright, AK: Blair Lake",10014
20,A02,"Deadmans Bay, AK: Deadmans Bay Airport",10015
21,A03,"Hallo Bay, AK: Hallo Bay Airport",10016
22,A04,"Red Lake, AK: Red Lake Airport",10017
23,A05,"Shell Lake, AK: Shell Lake Airport",10018
24,A06,"Kougarok, AK: Navigator Airstrip",10019
25,A07,"Selawik, AK: Roland Norton Memorial",10020
26,A08,"Pillar Bay, AK: Pillar Bay Airport",10021
27,A09,"Johnstone Point, AK: Johnstone Point Airport",10022
28,A11,"Bell Creek, AK: Bell Creek Airport",10024
29,A12,"Cinnabar, AK: Cinnabar Airport",10025
30,A13,"Mountaintop Mine, AK: Mountaintop Mine Airport",10026
31,A14,"Whitebear, AK: Whitebear Airport",10027
32,A15,"Puviaq, AK: Puviaq Airport",10028
33,A16,"Arley Lake, AK: Arley Lake Airport",10029
34,A17,"Port Vita, AK: Port Vita Airport",10030
35,A18,"Kantishna, AK: Kantishna Airport",10031
36,A1K,"Deadhorse1, AK: Point Thomson Airstrip",16668
37,A1L,"Cullman, AL: Cullman Regional Folsom Field",16811
38,A20,"Alpine, AK: Alpine Airstrip",10033
39,A20,"Alpine, AK: Alpine Airstrip",11388
40,DQH,"Alpine, AK: Alpine Airstrip",10033
41,DQH,"Alpine, AK: Alpine Airstrip",11388
42,A21,"Serpentine, AK: Serpentine Airport",10034
43,A22,"Driftwood Bay, AK: Driftwood Bay Airport",10035
44,A23,"Bradley Lake, AK: Bradley Lake Airport",10036
45,A24,"Chilkat Lake, AK: Chilkat Lake Airport",10037
46,A25,"Nugget Creek, AK: Nugget Creek Airport",10038
47,A26,"Ivotuk, AK: Ivotuk Airstrip",10039
48,A27,"Pogo Mines, AK: Pogo Mines Airport",10040
49,A28,"Ayakulik River, AK: Ayakulik River Airport",10041
50,A29,"Kiluda Bay, AK: Kiluda Bay Airport",10042
51,A2K,"Bartletts, AK: Bartletts Airport",10770
52,BSZ,"Bartletts, AK: Bartletts Airport",10770
53,A2L,"Fort Payne, AL: Isbell Field",16810
54,A30,"Terror Lake, AK: Terror Lake Airport",10043
55,A31,"Selief Bay, AK: Selief Bay Airport",10044
56,A34,"Laura Lake, AK: Laura Lake Airport",10047
57,A35,"Kaktovik, AK: Bullen Point AFS",11828
58,A36,"Deep Bay, AK: Deep Bay Airport",10049
59,A37,"Kako, AK: Kako Airport",10050
60,A38,"Molly Creek, AK: Molly Creek Airport",10051
61,A39,"Ptarmigan Lake, AK: Ptarmigan Lake Airport",10052
62,A3K,"Smith Bay, AK: Smith Bay Airport",16696
63,A40,"Cape Simpson, AK: Cape Simpson Airport",10053
64,A41,"Kogru River, AK: Kogru River Airport",10054
65,A42,"Teshepkuk Lake, AK: Teshepkuk Lake Airport",10055
66,A43,"Kodiak Island, AK: Trident Basin Seaplane Base",10056
67,A45,"Lake Florence, AK: Lake Florence Airport",10058
68,A46,"Lake Hasselborg, AK: Lake Hasselborg Airport",10059
69,A47,"Distin Lake, AK: Distin Lake Airport",10060
70,A48,"Port Hobron, AK: Port Hobron Airport",10061
71,A49,"Mooseville Airstrip, AK: Mooseville Airstrip Airport",10062
72,A4K,"Dune Lake, AK: Dune Lake Airport",16698
73,A50,"Big Bay, AK: Big Bay Airport",10063
74,A51,"Wien Lake, AK: Wien Lake Airport",10064
75,A52,"Silver Salmon Creek, AK: Silver Salmon Creek Airport",10065
76,A53,"Blear Lake, AK: Blear Lake Airport",10066
77,A54,"Cannery Bay, AK: Cannery Bay Airport",10067
78,A56,"Bear Lake, AK: Johnsons Landing",10069
79,A57,"International Seafoods, AK: International Seafoods Airport",10070
80,VZK,"International Seafoods, AK: International Seafoods Airport",10070
81,A58,"Cosna River, AK: Cosna River Airport",10071
82,A59,"Ivatuk, AK: Ivatuk Airport",10072
83,A5K,"Paxson, AK: Paxson Airport",16803
84,A61,"Cape Sarichef, AK: Cape Sarichef Airport",10074
85,A62,"Taylor Mountain Mine, AK: Taylor Mountain",10075
86,A63,"Yukon Charley Rivvers, AK: Coal Creek",10076
87,A65,"Karluk Portage, AK: Karluk Portage Airport",10078
88,A66,"Hope, AK: Hope Airport",10079
89,A67,"Viekoda Bay, AK: Viekoda Bay Airport",10080
90,A69,"Cold Bay, AK: Cathedral Strip",10082
91,A6K,"Fairbanks1, AK: Van Curlers Sandbar",16720
92,A70,"Village Islands, AK: Village Islands Airport",10083
93,A71,"Homer, AK: Bear Cove Farm",10084
94,A72,"Chinitna Bay, AK: Chinitna Bay Airport",10085
95,A73,"McKinley Park, AK: McKinley National Park",10086
96,A74,"Nanwalek, AK: Dog Fish Bay",10087
97,A75,"Malina Bay, AK: Malina Bay Airport",10088
98,A76,"Red Fox Bay, AK: Red Fox Bay Airport",10089
99,A77,"Shearwater, AK: Shearwater Airport",10090
100,A78,"Cape Simpson, AK: Lake",10091
101,A79,"Cape Simpson, AK: Cape Simpson No. 1",10092
102,A7K,"Nakochna, AK: Nakochna Airport",16723
103,A80,"Cape Simpson, AK: Cape Simpson No. 7",10093
104,A81,"Aglaq, AK: Cape Simpson #1",10094
105,A82,"Nikiski, AK: Nikiski Private Airstrip",10095
106,A83,"Petrof Point, AK: Petrof Point Airport",10096
107,A84,"Denali, AK: Denali West Lodge Private",10097
108,A85,"Big River, AK: Big River Airport",10098
109,A87,"Carry Inlet, AK: Carry Inlet Airport",10100
110,A89,"Montague Island, AK: Montague Island Airport",10102
111,A90,"Shannon Pond, AK: Shannon Pond Airport",10103
112,A91,"Omalik Lagoon, AK: Omalik Lagoon Airport",10104
113,A92,"Omolik Lagoon, AK: Omolik Lagoon Airport",10105
114,A93,"Bradley Lake Project, AK: Bradley Lake Project Airport",10106
115,A94,"Barrow, AK: Ice Strip",10107
116,A94,"Barrow, AK: Ice Strip",10108
117,A94,"Barrow, AK: Ice Strip",10109
118,A95,"Barrow, AK: Ice Strip",10107
119,A95,"Barrow, AK: Ice Strip",10108
120,A95,"Barrow, AK: Ice Strip",10109
121,A96,"Barrow, AK: Ice Strip",10107
122,A96,"Barrow, AK: Ice Strip",10108
123,A96,"Barrow, AK: Ice Strip",10109
124,A97,"Akulik, AK: Akulik Air Strip",10110
125,A98,"Deadfall, AK: Deadfall Air Strip",10111
126,A99,"Eagle Creek, AK: Eagle Creek Airport",10112
127,AA1,"Bethel, AK: Ice Kong",10113
128,AA2,"Naknek-1, AK: Icicle Seafoods",16662
129,AA4,"Kachemak Bay, AK: Glacier Split",10116
130,AA5,"Selby Lake, AK: Selby Lake Airport",10117
131,AA7,"Independence Creek, AK: Independence Creek Airport",16472
132,AA8,"Deadhorse, AK: Badami",11381
133,AA9,"Napaimute, AK: Napaimute Pioneer Airfield",16804
134,AAA,"Anaa, French Polynesia: Anaa Airport",10118
135,AAB,"Arrabury, Australia: Arrabury Station",10119
136,AAC,"El Arish, Egypt: El Arish International",10120
137,AAD,"Ad-Dabbah, Sudan: Ad-Dabbah Airport",16385
138,AAE,"Annaba, Algeria: Rabah Bitat",10121
139,AAF,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field",10122
140,AAH,"Aachen, Germany: Aachen Merzbrueck",10123
141,AAI,"Arraias, Brazil: Arraias Airport",10124
142,AAL,"Aalborg, Denmark: Aalborg Airport",10125
143,AAM,"Mala Mala, South Africa: Malamala",10126
144,AAN,"Al Ain, United Arab Emirates: Al Ain International",10127
145,AAO,"Anaco, Venezuela: Anaco Airport",10128
